Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Product rating count (product.metafields.reviews.rating_count),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / Germany,Price / Germany,Compare At Price / Germany,Included / European Union,Price / European Union,Compare At Price / European Union,Included / International,Price / International,Compare At Price / International,Included / Rest,Price / Rest,Compare At Price / Rest,Status
arforce,Airforce 1 Vendor,<p><span><strong>Every Purchase Includes:</strong></span> Free PDF with a Step for Step<span> </span><strong>Tutorial</strong><span> </span>on how to sell these. This tutorial is very valuable and will<span> </span><strong>definitely</strong><span> </span><strong>generate profit</strong><span> </span>if followed</p>,Resell-Depot,Uncategorized,"","",true,Size,36,,,,,,,,"",0.0,shopify,0,deny,manual,12.95,22.95,false,false,"",https://cdn.shopify.com/s/files/1/0855/1576/4040/files/5375_618cee3da69a25.11590256_CW2288-111-2.webp?v=1729621612,1,"",false,,,,,,,,,,,,,,,,kg,,,true,,,true,,,true,,,true,,,active
arforce,,,,,,,,,37,,,,,,,,"",0.0,,-1,deny,manual,12.95,22.95,false,false,"",,,,,,,,,,,,,,,,,,,,kg,,,,,,,,,,,,,,,
arforce,,,,,,,,,38,,,,,,,,"",0.0,shopify,0,deny,manual,12.95,22.95,false,false,"",,,,,,,,,,,,,,,,,,,,kg,,,,,,,,,,,,,,,
arforce,,,,,,,,,39,,,,,,,,"",0.0,,-4,deny,manual,12.95,22.95,false,false,"",,,,,,,,,,,,,,,,,,,,kg,,,,,,,,,,,,,,,
arforce,,,,,,,,,40,,,,,,,,"",0.0,,-4,deny,manual,12.95,22.95,false,false,"",,,,,,,,,,,,,,,,,,,,kg,,,,,,,,,,,,,,,
arforce,,,,,,,,,41,,,,,,,,"",0.0,,-5,deny,manual,12.95,22.95,false,false,"",,,,,,,,,,,,,,,,,,,,kg,,,,,,,,,,,,,,,
arforce,,,,,,,,,42,,,,,,,,"",0.0,,-12,deny,manual,12.95,22.95,false,false,"",,,,,,,,,,,,,,,,,,,,kg,,,,,,,,,,,,,,,
arforce,,,,,,,,,43,,,,,,,,"",0.0,,-18,deny,manual,12.95,22.95,false,false,"",,,,,,,,,,,,,,,,,,,,kg,,,,,,,,,,,,,,,
arforce,,,,,,,,,44,,,,,,,,"",0.0,,-11,deny,manual,12.95,22.95,false,false,"",,,,,,,,,,,,,,,,,,,,kg,,,,,,,,,,,,,,,
arforce,,,,,,,,,45,,,,,,,,"",0.0,shopify,0,deny,manual,12.95,22.95,false,false,"",,,,,,,,,,,,,,,,,,,,kg,,,,,,,,,,,,,,,
